"0.041783","0.043154","K00001","alcohol dehydrogenase [EC:1.1.1.1]"
"0.048626","0.045761","K00003","homoserine dehydrogenase [EC:1.1.1.3]"
"0.046823","0.048754","K00014","shikimate dehydrogenase [EC:1.1.1.25]"
"0.048009","0.044009","K00016","L-lactate dehydrogenase [EC:1.1.1.27]"
"0.046087","0.051507","K00024","malate dehydrogenase [EC:1.1.1.37]"
"0.046686","0.048858","K00033","6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
"0.045697","0.047285","K00036","glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
"0.047917","0.050121","K00052","3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
"0.047778","0.050055","K00053","ketol-acid reductoisomerase [EC:1.1.1.86]"
"0.046106","0.043212","K00054","hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]"
"0.049914","0.048984","K00057","glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]"
"0.04323","0.051279","K00059","3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
"0.045618","0.049708","K00067","dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]"
"0.049852","0.050121","K00075","UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]"
"0.047015","0.051347","K00088","IMP dehydrogenase [EC:1.1.1.205]"
"0.030191","0.032578","K00124","formate dehydrogenase iron-sulfur subunit"
"0.049113","0.049209","K00133","aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]"
"0.049145","0.050435","K00134","glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
"0.048291","0.049755","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]"
"0.047483","0.044709","K00161","pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]"
"0.047226","0.044635","K00162","pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]"
"0.047247","0.051525","K00215","4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]"
"0.049044","0.048516","K00244","fumarate reductase flavoprotein subunit [EC:1.3.5.4]"
"0.045395","0.049726","K00262","glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
"0.046444","0.046896","K00285","D-amino-acid dehydrogenase [EC:1.4.5.1]"
"0.050036","0.050524","K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]"
"0.047898","0.050199","K00287","dihydrofolate reductase [EC:1.5.1.3]"
"0.049056","0.05064","K00297","methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]"
"0.044956","0.045661","K00355","NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]"
"0.048427","0.049969","K00382","dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
"0.049747","0.048073","K00383","glutathione reductase (NADPH) [EC:1.8.1.7]"
"0.046137","0.050506","K00384","thioredoxin reductase (NADPH) [EC:1.8.1.9]"
"0.049696","0.049706","K00525","ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]"
"0.049961","0.04995","K00526","ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]"
"0.025772","0.027807","K00548","5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]"
"0.050384","0.048715","K00549","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]"
"0.049574","0.048424","K00558","DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"
"0.0498","0.050582","K00560","thymidylate synthase [EC:2.1.1.45]"
"0.049529","0.049316","K00566","tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]"
"0.050035","0.044848","K00588","caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]"
"0.049238","0.050457","K00600","glycine hydroxymethyltransferase [EC:2.1.2.1]"
"0.046374","0.050574","K00602","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]"
"0.048758","0.050979","K00604","methionyl-tRNA formyltransferase [EC:2.1.2.9]"
"0.048823","0.045599","K00609","aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]"
"0.045977","0.048852","K00611","ornithine carbamoyltransferase [EC:2.1.3.3]"
"0.048805","0.047408","K00615","transketolase [EC:2.2.1.1]"
"0.049233","0.048335","K00616","transaldolase [EC:2.2.1.2]"
"0.050314","0.042469","K00625","phosphate acetyltransferase [EC:2.3.1.8]"
"0.049576","0.050412","K00627","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"
"0.048539","0.050137","K00640","serine O-acetyltransferase [EC:2.3.1.30]"
"0.048338","0.049695","K00645","[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]"
"0.046153","0.050449","K00648","3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]"
"0.046966","0.039272","K00651","homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]"
"0.042107","0.050449","K00655","1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]"
"0.049519","0.045536","K00656","formate C-acetyltransferase [EC:2.3.1.54]"
"0.047091","0.051641","K00674","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
"0.048798","0.049834","K00688","glycogen phosphorylase [EC:2.4.1.1]"
"0.034796","0.020962","K00689","dextransucrase [EC:2.4.1.5]"
"0.047627","0.050391","K00700","1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
"0.049049","0.049059","K00703","starch synthase [EC:2.4.1.21]"
"0.049804","0.048614","K00705","4-alpha-glucanotransferase [EC:2.4.1.25]"
"0.050781","0.044315","K00712","poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]"
"0.030133","0.036256","K00721","dolichol-phosphate mannosyltransferase [EC:2.4.1.83]"
"0.042438","0.04002","K00756","pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]"
"0.04802","0.048696","K00757","uridine phosphorylase [EC:2.4.2.3]"
"0.048123","0.051227","K00759","adenine phosphoribosyltransferase [EC:2.4.2.7]"
"0.050009","0.050086","K00760","hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]"
"0.049569","0.050068","K00761","uracil phosphoribosyltransferase [EC:2.4.2.9]"
"0.049691","0.050171","K00762","orotate phosphoribosyltransferase [EC:2.4.2.10]"
